fecha,producto,cantidad,precio_unitario,categoria
2024-01-01,laptop,2,899.99,electronica
2024-01-01,raton,5,25.50,electronica
2024-01-02,teclado,3,75.00,electronica
2024-01-02,silla,1,250.00,muebles
2024-01-03,laptop,1,899.99,electronica
2024-01-03,mesa,2,150.00,muebles
2024-01-04,raton,10,25.50,electronica
2024-01-04,teclado,4,75.00,electronica
2024-01-05,silla,3,250.00,muebles
2024-01-05,laptop,1,899.99,electronica
2024-01-06,mesa,1,150.00,muebles
2024-01-06,raton,7,25.50,electronica
2024-01-07,laptop,2,899.99,electronica
2024-01-07,teclado,2,75.00,electronica
2024-01-08,silla,2,250.00,muebles
2024-01-08,mesa,3,150.00,muebles
2024-01-09,raton,8,25.50,electronica
2024-01-09,laptop,1,899.99,electronica
2024-01-10,teclado,5,75.00,electronica
2024-01-10,silla,1,250.00,muebles
2024-01-11,mesa,2,150.00,muebles
2024-01-11,raton,6,25.50,electronica
2024-01-12,laptop,3,899.99,electronica
2024-01-12,teclado,3,75.00,electronica
2024-01-13,silla,4,250.00,muebles
2024-01-13,mesa,1,150.00,muebles
2024-01-14,raton,9,25.50,electronica
2024-01-14,laptop,2,899.99,electronica
2024-01-15,teclado,6,75.00,electronica
2024-01-15,silla,2,250.00,muebles
